name,link,tag
Tổng hợp các bài hướng dẫn về Design Pattern - 23 mẫu cơ bản của GoF,https://viblo.asia/p/tong-hop-cac-bai-huong-dan-ve-design-pattern-23-mau-co-ban-cua-gof-3P0lPQPG5ox,singleton pattern
Ràng buộc (Constraint) trong SQL,https://viblo.asia/p/rang-buoc-constraint-trong-sql-eW65GAnJZDO,ràng buộc sql
Trích xuất thông tin từ chứng minh thư,https://viblo.asia/p/trich-xuat-thong-tin-tu-chung-minh-thu-bJzKmaRwK9N,recognize identity card
Những cạm bẫy với Laravel mà chắc người mới sẽ gặp phải,https://viblo.asia/p/nhung-cam-bay-voi-laravel-ma-chac-nguoi-moi-se-gap-phai-LzD5dLxo5jY,php
Thật dễ dàng để code PHP mà không cần cài đặt gì lên máy tính của bạn ?,https://viblo.asia/p/that-de-dang-de-code-php-ma-khong-can-cai-dat-gi-len-may-tinh-cua-ban-GrLZDDkwZk0,php
React JS - Hiểu về Functional và Class Components,https://viblo.asia/p/react-js-hieu-ve-functional-va-class-components-Qbq5QpkRlD8,functionalcomponent
SORT - Deep SORT : Một góc nhìn về Object Tracking (phần 1),https://viblo.asia/p/sort-deep-sort-mot-goc-nhin-ve-object-tracking-phan-1-Az45bPooZxY,object detection
Cấu trúc thư mục và phân quyền trong Ubuntu,https://viblo.asia/p/cau-truc-thu-muc-va-phan-quyen-trong-ubuntu-jvElaGpAKkw,linux folder
Microservices là gì?,https://viblo.asia/p/microservices-la-gi-gAm5yjD8Kdb,microservices
Streaming videos server sử dụng NGINX RTMP và HLS,https://viblo.asia/p/streaming-videos-server-su-dung-nginx-rtmp-va-hls-maGK7q4Llj2,streaming videos
Chinh phục bài toán Object Detection với Tensorflow V2 API trong 5 phút,https://viblo.asia/p/chinh-phuc-bai-toan-object-detection-voi-tensorflow-v2-api-trong-5-phut-1VgZvMRrKAw,tensorflow api object detection
Sử dụng trigger trong SQL qua ví dụ cơ bản.,https://viblo.asia/p/su-dung-trigger-trong-sql-qua-vi-du-co-ban-aWj538APK6m,mysql
Sử dụng AI đánh giá sản phẩm trên Lazada(Tiki) dựa trên comment,https://viblo.asia/p/su-dung-ai-danh-gia-san-pham-tren-lazadatiki-dua-tren-comment-aWj53b9ol6m,review comment
sử dụng index trong sql query,https://viblo.asia/p/su-dung-index-trong-sql-query-1ZnbRlPQR2Xo,sql
Tính trừu tượng và tư duy trong lập trình OOP,https://viblo.asia/p/tinh-truu-tuong-va-tu-duy-trong-lap-trinh-oop-LzD5dJrWZjY,abstract class
Cách sử dụng Jmeter cho performance và load testing,https://viblo.asia/p/cach-su-dung-jmeter-cho-performance-va-load-testing-1VgZvpx95Aw,jmeter
Một số ví dụ sử dụng Ajax,https://viblo.asia/p/mot-so-vi-du-su-dung-ajax-RnB5pGablPG,tạo ứng dụng đơn giản với ajax
Vòng đời của một React Component,https://viblo.asia/p/vong-doi-cua-mot-react-component-RQqKLMRzZ7z,reactjs
"Học Flutter từ cơ bản đến nâng cao. Phần 6: Key là gì, có mở khóa trái tim nàng được không?",https://viblo.asia/p/hoc-flutter-tu-co-ban-den-nang-cao-phan-6-key-la-gi-co-mo-khoa-trai-tim-nang-duoc-khong-ORNZqk4q50n,flutter
Sử dụng vector trong lập trình C++ - giải bài toán lập trình muôn thủa,https://viblo.asia/p/su-dung-vector-trong-lap-trinh-c-giai-bai-toan-lap-trinh-muon-thua-Az45bnGQ5xY,algorithm
BERT- bước đột phá mới trong công nghệ xử lý ngôn ngữ tự nhiên của Google,https://viblo.asia/p/bert-buoc-dot-pha-moi-trong-cong-nghe-xu-ly-ngon-ngu-tu-nhien-cua-google-RnB5pGV7lPG,deep learning
Tìm hiểu về Migration trong Laravel.,https://viblo.asia/p/tim-hieu-ve-migration-trong-laravel-bWrZn1MpKxw,laravel
Tạo Pull request đúng cách,https://viblo.asia/p/tao-pull-request-dung-cach-bWrZnwkrlxw,basic
Giới thiệu về Lodash và một số hàm thường dùng,https://viblo.asia/p/gioi-thieu-ve-lodash-va-mot-so-ham-thuong-dung-3Q75w2zGlWb,javascript
Thay đổi kiểu dữ liệu trong Javascript,https://viblo.asia/p/thay-doi-kieu-du-lieu-trong-javascript-gAm5y84Oldb,data types
NodeJS Bài 4: Query Parameters,https://viblo.asia/p/nodejs-bai-4-query-parameters-bWrZn63QZxw,express
Bài toán phân quyền vấn đề muôn thuở.,https://viblo.asia/p/bai-toan-phan-quyen-van-de-muon-thuo-1VgZvw9mlAw,phân tích thiết kế
Cùng tìm hiểu về các hook trong React hooks,https://viblo.asia/p/cung-tim-hieu-ve-cac-hook-trong-react-hooks-Ljy5VYgjlra,react hooks
Laravel 8 có gì mới?,https://viblo.asia/p/laravel-8-co-gi-moi-eW65G1aLZDO,laravel
Zing MP3 - Tôi đã khai thác API như thế nào ?,https://viblo.asia/p/zing-mp3-toi-da-khai-thac-api-nhu-the-nao-L4x5xvdaZBM,reverse
Học React/Redux qua ví dụ thực tế: Authentication thông qua Soundcloud API,https://codeaholicguy.com/2016/12/28/hoc-reactredux-qua-vi-du-thuc-te-authentication-thong-qua-soundcloud-api/,redux
Series AngularJS cho người mới: Filter và Validation,https://codeaholicguy.com/2016/01/07/series-angularjs-cho-nguoi-moi-filter-va-validation/,javascript
"Android Bài 4: Máy Ảo, Máy Thật & Khởi Chạy Ứng Dụng",https://yellowcodebooks.com/2016/09/06/bai-4-may-ao-may-that-khoi-chay-ung-dung/,android  java
Java Bài 15: Tổng Quan Lập Trình Hướng Đối Tượng,https://yellowcodebooks.com/2017/03/08/java-bai-15-tong-quan-lap-trinh-huong-doi-tuong/,java
Java Bài 11: Mảng (Array),https://yellowcodebooks.com/2016/12/13/java-bai-11-mang-array/,java
Lifecycle Component trong ReactJS,https://viblo.asia/p/lifecycle-component-trong-reactjs-gGJ59jzxKX2,null
Tính toán và xử lí ngày tháng bằng câu lệnh SQL,https://viblo.asia/p/tinh-toan-va-xu-li-ngay-thang-bang-cau-lenh-sql-V3m5WbYvlO7,mysql
"CI, CD và ... DevOps ???",https://viblo.asia/p/ci-cd-va-devops-07LKXYXDZV4,continuous delivery
Khác biệt giữa khóa chính và khóa ngoại trong SQL,https://viblo.asia/p/khac-biet-giua-khoa-chinh-va-khoa-ngoai-trong-sql-924lJMdWZPM,sql
Exceptions trong Ruby,https://viblo.asia/p/exceptions-trong-ruby-eW65GJm6lDO,ruby
Crawl dữ liệu trong Rails với gem Mechanize,https://viblo.asia/p/crawl-du-lieu-trong-rails-voi-gem-mechanize-LzD5dLv05jY,mechanize
PHP 8.0 có gì mới ?,https://viblo.asia/p/php-80-co-gi-moi-924lJm36ZPM,php
Tổng quan về thread và process trong ruby,https://viblo.asia/p/tong-quan-ve-thread-va-process-trong-ruby-L4x5xvvYZBM,multi threading
React Query (phần 1),https://viblo.asia/p/react-query-phan-1-vyDZOqqk5wj,javascrip
Tìm hiểu CSS căn bản,https://viblo.asia/s/WrZng8pblxw,css layout
Series 2 | Ubuntu,https://viblo.asia/s/24lJDzxaKPM,ms sql server
Học Flutter từ cơ bản đến nâng cao,https://viblo.asia/s/JzKmg8kDl9N,cross platform
Chia Sẽ Kiến thức về Xamarin,https://viblo.asia/s/4x5xp7gO5BM,xamarin
"Machine Learning, Medical Image Analysis & Biometric Application",https://viblo.asia/s/P856j7XR5Y3,deep learning
Design Pattern series,https://viblo.asia/s/68Z00nN9ZkG,design patterns
Tổng hợp Javascript,https://viblo.asia/s/aGK7jPEO5j2,reduce
Kiến thức cơ bản về Node js,https://viblo.asia/s/DVK2jDvjKLj,javascript
Tìm hiểu một số Docker cơ bản,https://viblo.asia/s/Q75wqJReZWb,docker swarm
Tìm hiểu về Webpacker ở Rails 6,https://viblo.asia/s/375z0mJ6ZGW,ruby on rails
Elastic là gì? Tôi có nên áp dụng vào dự án?,https://viblo.asia/s/QqKLvpm4l7z,elasticsearch engine
Dạo quanh Amazon EKS (Amazon Elastic Kubernetes Service),https://viblo.asia/s/VgZvEvbmKAw,mayfest
Nhật kí 1 tháng học golang,https://viblo.asia/s/WOZrgnkElQ0,golang
Tạo Chrome extension với Typescript + Vue theo phong cách Viblo,https://viblo.asia/s/pmleB8G95rd,javascript
"[Series] Học Docker, CICD từ cơ bản đến áp dụng vào thực tế",https://viblo.asia/s/jeZ103QgKWz,socket.io
Search tutorial,https://viblo.asia/s/dbZN76rmlYM,laravel
Học xử lý ảnh từ cơ bản đến nâng cao,https://viblo.asia/s/W65GEjzRZDO,image processing
Dịch sách Advance Programming In UNIX Environment,https://viblo.asia/s/Am5yqPzw5db,advance programming in unix environtment
Dịch sách The Linux Programming Interface,https://viblo.asia/s/GJ59jLR1KX2,kernel
Hacker mũ trắng - CEH,https://viblo.asia/s/RNZqg70850n,an toàn
Rails Code Smell And Solutions,https://viblo.asia/s/24lJDg1mKPM,design pattern
Series Study MySql,https://viblo.asia/s/3m5WBNpQlO7,mysql
Ruby's basically,https://viblo.asia/s/JzKmgDYwl9N,sort
HTML / CSS Series. Save to use later.,https://viblo.asia/s/WrZngQ3Ylxw,css3
Frontend - Và những điều thú vị?,https://viblo.asia/s/eVKByjX05kW,bem
es tip trust..................,https://viblo.asia/s/VgZvE2g2KAw,elasticsearch
State of Chain 2018,https://viblo.asia/s/zD5dBoqOZjY,blockch
Deep Learning for Chatbot,https://viblo.asia/s/RNZqg7mM50n,machine learning
Mình thích Laravel nhờ người ấy,https://viblo.asia/s/24lJDgVNKPM,orm
Deploy ứng dụng Machine learning lên Web server,https://viblo.asia/s/Q75wqN0BZWb,python
[Spring boot + Rest API],https://viblo.asia/s/P0lPmJrP5ox,spring boot
"Cùng nhau tìm hiểu về ReactJS, thư viện do Facebook phát triển!",https://viblo.asia/s/DVK2jPP2KLj,laravel
"Xây dựng các ứng dụng không máy chủ với Nodejs, AWS Lambda, API Gateway, Serverless Framework và DynamoDB",https://viblo.asia/s/aGK7jNNM5j2,node.js
Odoo Developa / Odoo for Beginnar,https://viblo.asia/s/P0lPmJBm5ox,openerp
Tìm hiểu Composer - The Dependency Manager for PHP,https://viblo.asia/s/yDZOPvnalwj,php
Từ căn bản đến nâng cao về Responsive Web Design,https://viblo.asia/s/VgZvE26rKAw,front-end
Đại số quan hệ và SQL,https://viblo.asia/s/jy5VB2jz5ra,sql
"Xây dựng ứng dụng đơn giản với AngularJS, Node.js và MySQL",https://viblo.asia/s/pmleBzNm5rd,node.js
xamarin playlist,https://viblo.asia/s/zD5dBoezZjY,uncategory
12 yếu tố tạo nên 1 web app xịn xò – Lược dịch và giải thích Twelve-Factor – Phần 2,https://toidicodedao.com/2020/09/08/12-yeu-to-tao-nen-1-web-app-xin-xo-luoc-dich-va-giai-thich-twelve-factor-phan-2/,web application
12 yếu tố tạo nên 1 web app xịn xò – Lược dịch và giải thích Twelve-Factor,https://toidicodedao.com/2020/09/01/12-yeu-to-tao-nen-1-web-app-xin-xo-luot-dich-va-giai-thich-twelve-factor/,web application
Cùng học Cờ Lao – Azure Phần Cuối: Toàn bộ một hệ thống chạy trên Azure sẽ như thế nào?,https://toidicodedao.com/2019/11/26/cung-hoc-co-lao-azure-phan-cuoi-toan-bo-mot-he-thong-chay-tren-azure-se-nhu-the-nao/,điện toán đám mây
"Kiến thức trong ngành IT có 2 loại – Một loại để càng lâu càng cũ, loại kia thì ngược lại",https://toidicodedao.com/2019/04/16/kien-thuc-cong-nghe-nganh-it/,thư viện
Lightning Talk Kì 23 – Bốn kĩ năng mềm lập trình viên nên có,https://toidicodedao.com/2018/11/22/lightning-talk-ki-23-bon-ki-nang-mem-lap-trinh-vien-nen-co/,đại học
9 project nhỏ mà bạn có thể code để luyện tập kĩ năng lập trình,https://toidicodedao.com/2018/09/04/project-luyen-tap-ki-nang-lap-trinh/,web bán hàng
"Linter – Giúp bạn viết code tốt hơn, xịn hơn, không cần senior hay giáo viên chỉ dạy",https://toidicodedao.com/2018/05/15/viet-code-tot-hon-voi-linter-eslint-visual-studio-code/,vscode
Làm trò với Puppeteer – Phần 2: Cùng cào dữ liệu và vếu từ kênh 14,https://toidicodedao.com/2017/12/19/puppeteer-headless-chrome-api-phan-2-cao-du-lieu-kenh14/,web crawler
“Em Thèm Vếu” – Từ ý tưởng đến sản phẩm chỉ trong 30 phút!,https://toidicodedao.com/2017/07/04/em-them-veu-tu-y-tuong-den-san-pham-chi-trong-30-phut/,vếu
Chuyện phát âm,https://quan-cam.com/posts/chuyen-phat-am, opinion
API Gateway là gì? Tại sao một hệ thống microservices lại cần API Gateway?,https://viblo.asia/p/api-gateway-la-gi-tai-sao-mot-he-thong-microservices-lai-can-api-gateway-Do754pDX5M6,microservices
Bạn đã sử dụng hết tính năng của Comment trong Ruby?,https://viblo.asia/p/ban-da-su-dung-het-tinh-nang-cua-comment-trong-ruby-RnB5pWjrlPG,comment
Git - The title must be at least 15 characters,https://viblo.asia/s/rLZDX4xVZk0,github
Reactjs nâng cao,https://viblo.asia/s/VgZvEv9rKAw,reactjs
Machine Learning Engineering?!,https://viblo.asia/s/W65GEj2xZDO,model optimization
Quản lý state trong react app với RecoilJS,https://viblo.asia/s/dbZN760nlYM,reactjs
Tổng hợp những thay đổi trong Rails 6?,https://viblo.asia/s/Wj53OQJw56m,rails 6
Cơ bản về Hyperledger Sawtooth,https://viblo.asia/s/RNZqg8qq50n,hyperledger sawtooth
MySQL Optimization,https://viblo.asia/s/J3ZgB8bxKmB,normalization
Học Deep Learning từ cơ bản đến nâng cao,https://viblo.asia/s/eVKByjLd5kW,deep learning
Quản lý web với Google sheet,https://viblo.asia/s/nB5pXJqd5PG,google sheet
Học vuejs nâng cao,https://viblo.asia/s/JzKmgDNrl9N,scoped-slot
Functional Programming,https://viblo.asia/s/RNZqg7YL50n,functional programming
[JS] ES6 & Beyond,https://viblo.asia/s/zD5dBoGdZjY,javascript
[SPA] Xây dựng SPA App Vuejs - Laravel,https://viblo.asia/s/yDZOPvOPlwj,vuejs
Tech Invasion 2018,https://viblo.asia/s/QqKLv3pbl7z,edtech
Vietnam Mobile Day 2018 Presentation Videos,https://viblo.asia/s/AyK8VqrnlxX,internet of things
Laravel shopping,https://viblo.asia/s/JzKmgDdXl9N,""
Tìm hiểu về React Router.,https://viblo.asia/s/3m5WBNmblO7,history
Lập trình hướng đối tượng với PHP,https://viblo.asia/s/bq5QL7EzlD8,laravel
2018 - Cùng nhau học Docker,https://viblo.asia/s/Wj53Omjb56m,docker container
Loạt bài về trình hướng đối tượng trong PHP,https://viblo.asia/s/yDZOPvkQlwj,psr
Python for Beginners,https://viblo.asia/s/zD5dBoa4ZjY,multi threading
Laravel up and running,https://viblo.asia/s/z45bxjLVZxY,artisan command
Laravel Tips <3,https://viblo.asia/s/aGK7jNAB5j2,laravel
"Single Page Application with ReactJS, Rails API",https://viblo.asia/s/3vKjRg1MK2R,reactjs
Tạo file ảnh đúng dung lượng bằng base64,https://viblo.asia/s/GJ59j0QGKX2,qa
[Translation] Các khái niệm cơ bản về Fragment trong Android,https://viblo.asia/s/z45bxj4zZxY,android
Tôi đã lên cấp và tiến hoá như thế nào qua 6 năm lăn lộn trong ngành – Phần 1,https://toidicodedao.com/2020/08/04/developer-tien-hoa-phan-1/,senior developer
Những cách đặt câu hỏi lập trình hay ho để “được” ăn gạch đá!,https://toidicodedao.com/2019/11/05/cach-dat-cau-hoi-lap-trinh/,tư vấn
Cùng học Cờ Lao – Azure Phần 4.1: Azure App Service là gì? Nó có gì hay ho?,https://toidicodedao.com/2019/04/09/cung-hoc-co-lao-azure-phan-4-1-azure-app-service-la-gi-no-co-gi-hay-ho/,điện toán đám mây
Review sách: Site Reliability Engineering – How Google Run Production System,https://toidicodedao.com/2018/11/20/review-sach-site-reliability-engineering-how-google-run-production-system/,system architecture
"Lộ trình học lập trình, vài lời khuyên cho các bạn sinh viên IT",https://toidicodedao.com/2018/08/30/lo-trinh-hoc-cong-nghe-thong-tin/,đồ án tốt nghiệp
Tại sao đa phần các công ty thích dùng công nghệ “lỗi thời”,https://toidicodedao.com/2018/05/08/tai-sao-da-phan-cac-cong-ty-thich-dung-cong-nghe-loi-thoi/,technology
Làm trò với Puppeteer – Phần 1: Cùng tìm hiểu về Puppeteer và Headless Browser,https://toidicodedao.com/2017/12/12/puppeteer-headless-chrome-api-phan-1/,web crawler
Series Nhập Môn Lập Trình – Học ngôn ngữ lập trình đầu tiên như thế nào?,https://toidicodedao.com/2017/06/29/hoc-ngon-ngu-lap-trinh-dau-tien/,đại học
Series Phản Phác Quy Chân – Lý thuyết hay thực hành quan trọng hơn?,https://toidicodedao.com/2017/03/28/ly-thuyet-va-thuc-hanh/,đại học
Lozi.vn đã “vô ý” để lộ dữ liệu 2 triệu người dùng như thế nào,https://toidicodedao.com/2016/12/06/lozi-vn-lo-du-lieu-2-trieu-nguoi-dung/,tấn công
JS Truyền Kì – Chương 1: Lược sử giang hồ,https://toidicodedao.com/2016/08/16/js-truyen-ki-chuong-1-luoc-su-giang-ho/,series
"Một lần theo chân team đi tiếp thị, quảng cáo, và… code dạo",https://toidicodedao.com/2016/05/05/mot-lan-theo-chan-team-di-tiep-thi-quang-cao-va-code-dao/,team
Sự thật đắng lòng: Đôi khi cắm đầu ngồi CODE là cách … ngu nhất để giải quyết vấn đề ,https://toidicodedao.com/2016/01/20/su-that-dang-long-doi-khi-cam-dau-ngoi-code-la-cach-ngu-nhat-de-giai-quyet-van-de/,đắng lòng
Series C# hay ho: C# 6 có gì hay ho nào,https://toidicodedao.com/2015/10/22/series-c-hay-ho-c-6-co-gi-hay-ho-nao/,thư viện
Sự khác biệt giữa Web Site và Web Application,https://toidicodedao.com/2015/08/13/su-khac-biet-giua-web-site-va-web-application/,website
Review sách: Clean Code: A Handbook of Agile Software Craftsmanship,https://toidicodedao.com/2015/04/09/review-sach-clean-code-a-handbook-of-agile-software-craftsmanship/,sách
Viết và chia sẻ code online với fiddle,https://toidicodedao.com/2015/02/03/viet-va-chia-se-code-online-voi-fiddle/,programming
Phỏng vấn tác giả Proxyman: Từ side project thành full-time business,https://thefullsnack.com/posts/interview-nghia-tran-proxyman.html,"interview , indiehackerph"
"2019 rồi, setup Vim như nào?",https://thefullsnack.com/posts/vim-setup-2019.html,"vim , emacs , setup"
"Helm, Ripgrep và Emacs dùng... helm-ag",https://thefullsnack.com/posts/ripgrep-emacs.html,"emacshelm , ripgrep"
Paper Review: Why Functional Programming Matters,https://thefullsnack.com/posts/review-why-functional-programming-matters.html,"research , paper , haskell , functional-programmingpaper"
Vài ghi chép về V8 và Garbage Collection,https://thefullsnack.com/posts/javascript-v8-notes.html,"javascript , v"
Bảo mật 2 lớp và ứng dụng,https://thefullsnack.com/posts/guess-runi-two-factor-authentication.html,"guest , golangb"
Gõ tiếng Việt trên Emacs Linux,https://thefullsnack.com/posts/emacs-tieng-viet.html,"emacs , linuxg"
Phân tích và tiếp cận bài toán Quy hoạch động,https://thefullsnack.com/posts/dynamic-programming.html,algorithmph
Tìm hiểu cơ bản về mô hình TCP/IP,https://viblo.asia/p/tim-hieu-co-ban-ve-mo-hinh-tcpip-RQqKLkJp57z,kiến trúc phân tầng tcp/ip
UI Design - Các yếu tố cơ bản trong thiết kế giao diện,https://viblo.asia/p/ui-design-cac-yeu-to-co-ban-trong-thiet-ke-giao-dien-OeVKBnqMKkW,ui
Tìm hiểu về phân luồng (threading) trong Ruby,https://viblo.asia/p/tim-hieu-ve-phan-luong-threading-trong-ruby-djeZ1mwGZWz,multi threading
Python - Data Structure and Algorithms,https://viblo.asia/s/Am5yqPqD5db,binary tree
Thực hành Docker từ căn bản,https://viblo.asia/s/68Z00n0zZkG,docker file
Flutter: Chinh phục RxDart trong 3 nốt nhạc,https://viblo.asia/s/rLZDX4AJZk0,rxdart
Deploy PHP Application với server Ubuntu,https://viblo.asia/s/yDZOPgQQlwj,ubuntu
Trà chanh- chém gió về paper,https://viblo.asia/s/3m5WB82wlO7,computer vision
PyTorch Tutorial,https://viblo.asia/s/Wj53OQVb56m,pytorch
Javascript Document,https://viblo.asia/s/rLZDX49eZk0,javascript
Git Essentials - Tổng hợp các bài viết chọn lọc về Git,https://viblo.asia/s/JzKmg82kl9N,version control system (vcs)
Sinh Test data tự động từ các đồ thị UML,https://viblo.asia/s/jy5VB8k95ra,statediagram
Laravel + VueJS + Package,https://viblo.asia/s/GJ59jL81KX2,handle validation
Automation Tool,https://viblo.asia/s/Q75wqN4GZWb,automation testing tool
Một vài cuốn sách hay,https://viblo.asia/s/bq5QL7eLlD8,life
Bài viết bổ ích,https://viblo.asia/s/L6lAyebmlek,git
Blockchain with Java,https://viblo.asia/s/3vKjRgEkK2R,java
Một số mẹo và thủ thuật khi sử dụng SublimeText,https://viblo.asia/s/GJ59j0djKX2,sublime text
CSS - Hogwarts University for Hary-Developer,https://viblo.asia/s/MnKMJDkrZ7P,rem
Kiểm thử UI/UX: Tổng hợp những điều cần lưu ý,https://viblo.asia/s/DVK2jPqeKLj,testing
Ứng dụng công nghệ Blockchain trong các lĩnh vực của đời sống,https://viblo.asia/s/yEZkgnDyZQ0,ứng dụng blockchain trong lĩnh vực giáo dục
Các Bài Học Về Cơ Sở Dữ Liệu,https://viblo.asia/s/aGK7jNPb5j2,sql
Làm quen với Pytorch,https://viblo.asia/s/rLZDXo4OZk0,""
Metaprogramming trong Ruby,https://viblo.asia/s/WrZngQQblxw,metaprogramming
Mastering Blockchain,https://viblo.asia/s/VgZvE2JYKAw,byzantine fault tolerance
Vài ba thứ linh tinh về shellscript,https://viblo.asia/s/4x5xpqPq5BM,return
Học reactjs và redux 2018,https://viblo.asia/s/nB5pXJp65PG,redux
Tìm hiểu về Docker.,https://viblo.asia/s/vElaBka45kw,docker
Vim: Daily Usage,https://viblo.asia/s/z45bxjMVZxY,""
How To Become An Agile Tester,https://viblo.asia/s/Q75wqNV9ZWb,agile
[Front-end] CSS_SASS,https://viblo.asia/s/bq5QL7aElD8,front-end
Functional Programming in JavaScript,https://viblo.asia/s/Je5Ejz74KnL,javascript
[React-Native] Series for beginner,https://viblo.asia/s/jeZ107yjKWz,learning
Ứng dụng beacon trong việc xác định vị trí,https://viblo.asia/s/DVK2jP4nKLj,android development
Tìm hiểu về Kubernetes,https://viblo.asia/s/bq5QL7Q4lD8,quản lý docker
Những cuộc “chạy đua vũ trang” ngầm khá hay ho trong giới công nghệ,https://toidicodedao.com/2020/07/14/chay-dua-vu-trang-cong-nghe/,web crawler
Cùng học Cờ Lao – Azure Phần 7: Một số service hay ho khác của Azure,https://toidicodedao.com/2019/10/29/cung-hoc-co-lao-azure-phan-7-mot-so-service-hay-ho-khac-cua-azure/,điện toán đám mây
"Thực hư chuyện Facebook lưu mật khẩu dưới dạng text, để lộ mật khẩu trăm triệu người dùng?",https://toidicodedao.com/2019/03/26/facebook-luu-mat-khau-dang-text-lo-mat-khau/,security
"Từ chuyện về cây bút chì trong vũ trụ, đến chuyện làm web hiện đại và về cách giải quyết vấn đề",https://toidicodedao.com/2018/11/15/chuyen-lam-web-over-engieering-va-giai-quyet-van-de/,web development
Series Lược Sử Lập Trình Web Phần 4.2 – Web Front-end hiện đại có gì hot,https://toidicodedao.com/2018/08/28/series-luoc-su-lap-trinh-web-phan-4-2-front-end-web-hien-dai-co-gi-hot/,webpack
Gắn râu Yua Mikami – Phần 3: Kết hợp Face Detection + Image Processing và… Toán Học,https://toidicodedao.com/2018/05/03/gan-rau-yua-mikami-face-detection-image-processing-toan-hoc/,tutorial
"Ngày xửa ngày xưa, lập trình là vốn là chuyện của … đàn bà???",https://toidicodedao.com/2017/12/05/ngay-xua-lap-trinh-la-chuyen-cua-dan-ba/,đàn bà
Series UI/UX Cho Developer – Phân biệt UI và UX,https://toidicodedao.com/2017/06/20/phan-biet-ui-va-ux/,ux
Series Nhập Môn Lập Trình – Công việc thường ngày của một lập trình viên,https://toidicodedao.com/2017/03/23/cong-viec-lap-trinh-vien-lam-gi/,series nhập môn lập trình
Series Bảo Mật Nhập Môn – CSRF – Những cú lừa ngoạn mục,https://toidicodedao.com/2016/11/29/csrf-cu-lua-ngoan-muc/,xss
Hai sai lầm hay gặp khi tự code một trang web… bán hàng,https://toidicodedao.com/2016/08/09/web-ban-hang-khong-don-gian/,session
Series SOLID cho thanh niên code CỨNG: Single Responsibility Principle,https://toidicodedao.com/2016/05/03/series-solid-cho-thanh-nien-code-cung-single-responsibility-principle/,srp
Series JavaScript sida – Object trong JavaScript,https://toidicodedao.com/2016/01/19/series-javascript-sida-object-trong-javascript/,web developer
